"week"	"Date"	"CDCw"	"CDC"	"US.RetrPct"	"US.old"	"US.Retrained"	"DateLabel"
39	"9/28/2003"	0.8830	0.9609	0.9020	0.75	902	"2003-09-28"
40	"10/5/2003"	1.0250	1.0432	0.9520	0.79	952	"2003-10-05"
41	"10/12/2003"	1.2800	1.0544	1.0920	0.91	1092	"2003-10-12"
42	"10/19/2003"	1.3230	1.1123	1.2090	1.02	1209	"2003-10-19"
43	"10/26/2003"	1.7620	1.4092	1.2490	1	1249	"2003-10-26"
44	"11/2/2003"	2.4260	1.7270	1.3740	1.12	1374	"2003-11-02"
45	"11/9/2003"	2.7110	2.4081	1.7020	1.33	1702	"2003-11-09"
46	"11/16/2003"	3.7230	3.1127	2.1480	1.8	2148	"2003-11-16"
47	"11/23/2003"	4.5420	4.3065	2.9680	2.19	2968	"2003-11-23"
48	"11/30/2003"	5.3960	4.8199	3.5240	4.04	3524	"2003-11-30"
49	"12/7/2003"	7.4040	6.4059	5.3890	8.3	5389	"2003-12-07"
50	"12/14/2003"	7.5080	6.8601	7.2760	8.06	7276	"2003-12-14"
51	"12/21/2003"	7.6420	7.0642	8.1960	6.35	8196	"2003-12-21"
52	"12/28/2003"	5.1520	4.5503	5.2500	4.12	5250	"2003-12-28"
1	"1/4/2004"	2.9010	2.4203	3.1540	2.6	3154	"2004-01-04"
2	"1/11/2004"	2.1030	1.8111	2.0570	1.66	2057	"2004-01-11"
3	"1/18/2004"	1.8890	1.7208	1.6160	1.25	1616	"2004-01-18"
4	"1/25/2004"	1.7910	1.5542	1.3960	1.13	1396	"2004-01-25"
5	"2/1/2004"	1.4670	1.4515	1.2270	1.12	1227	"2004-02-01"
6	"2/8/2004"	1.3970	1.3304	1.1860	1.21	1186	"2004-02-08"
7	"2/15/2004"	1.3220	1.3162	1.1620	1.18	1162	"2004-02-15"
8	"2/22/2004"	1.0990	1.0394	1.1180	1.23	1118	"2004-02-22"
9	"2/29/2004"	1.0110	1.0265	0.9890	1.11	989	"2004-02-29"
10	"3/7/2004"	1.0520	1.0626	0.9190	1.03	919	"2004-03-07"
11	"3/14/2004"	1.1010	1.0329	0.8460	0.87	846	"2004-03-14"
12	"3/21/2004"	0.8770	0.9508	0.8830	0.97	883	"2004-03-21"
13	"3/28/2004"	0.7860	0.8173	0.8080	0.88	808	"2004-03-28"
14	"4/4/2004"	0.7000	0.8321	0.8310	0.84	831	"2004-04-04"
15	"4/11/2004"	0.7250	0.8852	0.7960	0.76	796	"2004-04-11"
16	"4/18/2004"	0.6800	0.8437	0.7190	0.77	719	"2004-04-18"
17	"4/25/2004"	0.5370	0.7184	0.7220	0.76	722	"2004-04-25"
18	"5/2/2004"	0.5930	0.9634	0.7050	0.72	705	"2004-05-02"
19	"5/9/2004"	0.5330	0.9626	0.6800	0.65	680	"2004-05-09"
20	"5/16/2004"	0.8670	1.1197	0.6630	0.62	663	"2004-05-16"
21	"5/23/2004"	"NA"	"NA"	0.6490	0.6	649	"2004-05-23"
22	"5/30/2004"	"NA"	"NA"	0.6500	0.58	650	"2004-05-30"
23	"6/6/2004"	"NA"	"NA"	0.6530	0.56	653	"2004-06-06"
24	"6/13/2004"	"NA"	"NA"	0.6310	0.48	631	"2004-06-13"
25	"6/20/2004"	"NA"	"NA"	0.6230	0.47	623	"2004-06-20"
26	"6/27/2004"	"NA"	"NA"	0.6020	0.43	602	"2004-06-27"
27	"7/4/2004"	"NA"	"NA"	0.6290	0.41	629	"2004-07-04"
28	"7/11/2004"	"NA"	"NA"	0.5970	0.41	597	"2004-07-11"
29	"7/18/2004"	"NA"	"NA"	0.5760	0.38	576	"2004-07-18"
30	"7/25/2004"	"NA"	"NA"	0.5870	0.36	587	"2004-07-25"
31	"8/1/2004"	"NA"	"NA"	0.5930	0.38	593	"2004-08-01"
32	"8/8/2004"	"NA"	"NA"	0.5990	0.38	599	"2004-08-08"
33	"8/15/2004"	"NA"	"NA"	0.6180	0.4	618	"2004-08-15"
34	"8/22/2004"	"NA"	"NA"	0.6760	0.46	676	"2004-08-22"
35	"8/29/2004"	"NA"	"NA"	0.7010	0.48	701	"2004-08-29"
36	"9/5/2004"	"NA"	"NA"	0.8100	0.53	810	"2004-09-05"
37	"9/12/2004"	"NA"	"NA"	0.8260	0.61	826	"2004-09-12"
38	"9/19/2004"	"NA"	"NA"	0.8980	0.7	898	"2004-09-19"
39	"9/26/2004"	"NA"	"NA"	0.9220	0.78	922	"2004-09-26"
40	"10/3/2004"	0.9880	0.9174	1.1390	0.98	1139	"2004-10-03"
41	"10/10/2004"	1.0290	1.0265	1.4080	1.15	1408	"2004-10-10"
42	"10/17/2004"	1.1730	1.0693	1.6300	1.36	1630	"2004-10-17"
43	"10/24/2004"	1.2850	1.0853	1.7670	1.36	1767	"2004-10-24"
44	"10/31/2004"	1.2870	1.2112	1.8040	1.31	1804	"2004-10-31"
45	"11/7/2004"	1.4330	1.3160	1.8190	1.43	1819	"2004-11-07"
46	"11/14/2004"	1.4320	1.2999	1.7610	1.46	1761	"2004-11-14"
47	"11/21/2004"	1.7410	1.5868	1.5950	1.27	1595	"2004-11-21"
48	"11/28/2004"	1.5740	1.4065	1.8000	1.55	1800	"2004-11-28"
49	"12/5/2004"	1.6740	1.4592	1.7820	1.53	1782	"2004-12-05"
50	"12/12/2004"	1.8770	1.6615	1.8500	1.56	1850	"2004-12-12"
51	"12/19/2004"	2.3900	2.1983	2.2060	1.78	2206	"2004-12-19"
52	"12/26/2004"	2.7930	2.5831	2.7150	2.26	2715	"2004-12-26"
1	"1/2/2005"	2.3930	2.1337	2.6730	2.49	2673	"2005-01-02"
2	"1/9/2005"	2.5220	2.1883	2.4590	2.08	2459	"2005-01-09"
3	"1/16/2005"	2.8440	2.5244	2.5620	2.11	2562	"2005-01-16"
4	"1/23/2005"	3.5480	3.0531	2.8860	2.49	2886	"2005-01-23"
5	"1/30/2005"	4.6080	4.0011	3.4290	2.97	3429	"2005-01-30"
6	"2/6/2005"	5.0580	4.5996	4.0370	3.57	4037	"2005-02-06"
7	"2/13/2005"	5.4350	4.6943	4.0650	3.57	4065	"2005-02-13"
8	"2/20/2005"	4.4920	4.1844	3.5400	3.18	3540	"2005-02-20"
9	"2/27/2005"	3.6910	3.4469	2.8750	2.65	2875	"2005-02-27"
10	"3/6/2005"	3.3500	3.1346	2.5540	2.44	2554	"2005-03-06"
11	"3/13/2005"	2.7980	2.6359	2.2300	2.16	2230	"2005-03-13"
12	"3/20/2005"	2.5550	2.3625	2.0240	1.94	2024	"2005-03-20"
13	"3/27/2005"	2.0730	1.9233	1.7490	1.72	1749	"2005-03-27"
14	"4/3/2005"	1.6490	1.5603	1.4210	1.5	1421	"2005-04-03"
15	"4/10/2005"	1.5970	1.4525	1.1860	1.3	1186	"2005-04-10"
16	"4/17/2005"	1.2970	1.2519	1.0830	1.11	1083	"2005-04-17"
17	"4/24/2005"	1.2490	1.2524	1.0170	1.1	1017	"2005-04-24"
18	"5/1/2005"	1.1600	1.1547	0.9590	1.05	959	"2005-05-01"
19	"5/8/2005"	1.2210	1.2951	0.9020	0.98	902	"2005-05-08"
20	"5/15/2005"	0.9910	1.1412	0.8500	0.94	850	"2005-05-15"
21	"5/22/2005"	"NA"	"NA"	0.8500	0.87	850	"2005-05-22"
22	"5/29/2005"	"NA"	"NA"	0.8260	0.75	826	"2005-05-29"
23	"6/5/2005"	"NA"	"NA"	0.7510	0.65	751	"2005-06-05"
24	"6/12/2005"	"NA"	"NA"	0.7610	0.58	761	"2005-06-12"
25	"6/19/2005"	"NA"	"NA"	0.7400	0.56	740	"2005-06-19"
